Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-01-31 00:00:00,38905000000.0,26437000000.0,12468000000.0,1801000000.0,3596000000.0,3980000000.0,1449000000.0,,3980000000.0,718000000.0,3262000000.0,13000000.0,3272000000.0,10.36,0.3205,0.1395,0.1023,0.0841,0.1327,7483000000.0,5429000000.0,10.2427,10.3731,10.3731,3275000000.0,3275000000.0,0.1923,0.1171,DE
2019-10-31 00:00:00,39258000000.0,26792000000.0,12466000000.0,1783000000.0,3551000000.0,4088000000.0,1466000000.0,,4088000000.0,852000000.0,3236000000.0,21000000.0,3253000000.0,10.27,0.3175,0.1415,0.1041,0.0829,0.1004,7573000000.0,5554000000.0,10.1591,10.2907,10.2907,3257000000.0,3257000000.0,0.1929,0.0869,DE
2019-07-31 00:00:00,38778500000.0,26438200000.0,12340300000.0,1765000000.0,3504800000.0,4242400400.0,1401000000.0,,4242400000.0,951400000.0,3291000000.0,29000000.0,3317000000.0,10.42,0.3182,0.1455,0.1094,0.0855,0.0865,7647400000.0,5643400000.0,10.3348,10.4479,10.4479,3320000000.0,3320000100.0,0.1972,0.0747,DE
2019-04-30 00:00:00,39050500000.0,26720200000.0,12330300000.0,1750000000.0,3521800000.0,4319400400.0,1318000000.0,,4319400000.0,1019400000.0,3300000000.0,32000000.0,3328000000.0,10.39,0.3158,0.1444,0.1106,0.0852,0.053,7629600000.0,5637400000.0,10.3011,10.4182,10.4182,3332000000.0,3332000100.0,0.1954,0.0396,DE
2019-01-31 00:00:00,38428500000.0,26298500000.0,12130000000.0,1708200000.0,3514000000.0,4230099400.0,1270700000.0,,4230100000.0,853500000.0,3376600000.0,29100000.0,3401100000.0,10.55,0.3157,0.1431,0.1101,0.0885,0.0511,7467599000.0,5500799000.0,10.45,10.576,10.576,3405700000.0,3405700100.0,0.1943,0.0382,DE
2018-10-31 00:00:00,37358000000.0,25571000000.0,11787000000.0,1658000000.0,3455000000.0,4070999800.0,1204000000.0,,4071000000.0,1727000000.0,2344000000.0,27000000.0,2368000000.0,7.33,0.3155,0.1412,0.109,0.0634,0.0645,7201999000.0,5274999400.0,7.2442,7.3497,7.3497,2371000000.0,2371000100.0,0.1928,0.0488,DE
2018-07-31 00:00:00,35959499000.0,24598000000.0,11361499000.0,1586699900.0,3405199900.0,3858399200.0,1128700000.0,,3858400000.0,1746400000.0,2112000000.0,-16000000.0,2093000000.0,6.47,0.316,0.1387,0.1073,0.0582,0.041,6869099000.0,4987099400.0,6.375,6.4875,6.4875,2095999900.0,2096000000.0,0.191,0.0221,DE
2018-04-30 00:00:00,33459299000.0,22694600000.0,10764699000.0,1507499900.0,3291299900.0,3558299100.0,1054000000.0,,3558300000.0,1710600000.0,1847700000.0,-20400000.0,1824800000.0,5.66,0.3217,0.1378,0.1063,0.0545,0.0552,6435999000.0,4612299400.0,5.5733,5.6736,5.6736,1827299900.0,1827300000.0,0.1924,0.0341,DE
2018-01-31 00:00:00,31026299000.0,20789000000.0,10237299000.0,1417699900.0,3135699900.0,3343900100.0,977200000.0,,3343900000.0,1899300000.0,1444600100.0,-18700000.0,1425000000.0,4.44,0.33,0.1393,0.1078,0.0459,0.0784,6084600000.0,4321100400.0,4.4011,4.4746,4.4746,1425899900.0,1425900000.0,0.1961,0.0528,DE
2017-10-31 00:00:00,29737999000.0,19866000000.0,9871999000.0,1372999900.0,3097999900.0,3153999700.0,899000000.0,,3154000000.0,971000000.0,2183000100.0,-24000000.0,2159000000.0,6.71,0.332,0.1363,0.1061,0.0726,0.1023,5769000000.0,4053000000.0,6.6781,6.7575,6.7575,2158999900.0,2159000000.0,0.194,0.0738,DE
2017-07-31 00:00:00,28239699000.0,18788599000.0,9451100000.0,1364899900.0,3024499900.0,2821601300.0,850100000.0,,2821600000.0,888500000.0,1933100100.0,300000.0,1934900000.0,6.03,0.3347,0.13,0.0999,0.0685,0.1406,5352101000.0,3671701800.0,5.9947,6.0614,6.0614,1933400000.0,1933400000.0,0.1895,0.1124,DE
2017-04-30 00:00:00,27156299000.0,18034199000.0,9122100000.0,1366899900.0,2934399900.0,2636801000.0,834500000.0,,2636800000.0,861800000.0,1775000100.0,4700000.0,1781600000.0,5.58,0.3359,0.1278,0.0971,0.0656,0.1718,5112401000.0,3471301400.0,5.5667,5.6138,5.6138,1779700000.0,1779700000.0,0.1883,0.1443,DE
2017-01-31 00:00:00,26744699000.0,18137499000.0,8607200000.0,1386499900.0,2865599900.0,2200801300.0,798600000.0,,2200800000.0,733800000.0,1467000000.0,-900000.0,1468500000.0,4.64,0.3218,0.1121,0.0823,0.0549,0.1677,4600701000.0,2999401700.0,4.6272,4.6515,4.6515,1466100000.0,1466100000.0,0.172,0.1425,DE
2016-10-31 00:00:00,26643999000.0,18196099000.0,8447900000.0,1393699900.0,2791199900.0,2224001500.0,763700000.0,,2224000000.0,700100000.0,1523900000.0,-2400000.0,1523900000.0,4.83,0.3171,0.1121,0.0835,0.0572,0.1644,4547501200.0,2987701900.0,4.8057,4.8271,4.8271,1521500000.0,1521500000.0,0.1707,0.1415,DE
2016-07-31 00:00:00,26839601000.0,18535699000.0,8303902000.0,1407100100.0,2735700000.0,2246602100.0,727800000.0,,2246600100.0,664400000.0,1582200100.0,6400000.0,1589700000.0,5.01,0.3094,0.1108,0.0837,0.0592,0.1663,4486002300.0,2974401600.0,5.002,5.0238,5.0238,1588600200.0,1588600000.0,0.1671,0.145,DE
2016-04-30 00:00:00,27708901000.0,19399499000.0,8309402000.0,1415100100.0,2782000000.0,2280003000.0,698600000.0,,2280000100.0,678900000.0,1601100100.0,10600000.0,1612600000.0,5.0,0.2999,0.1075,0.0823,0.0582,0.1489,4439902300.0,2978602500.0,4.9859,5.0133,5.0133,1611700200.0,1611700000.0,0.1602,0.13,DE
2016-01-31 00:00:00,28004201000.0,19562699000.0,8441502000.0,1411200100.0,2807200000.0,2563702700.0,673100000.0,,2563700100.0,765100000.0,1798600100.0,9200000.0,1807600000.0,5.46,0.3014,0.1156,0.0915,0.0645,0.1407,4650502300.0,3236802200.0,5.4565,5.4925,5.4925,1807800200.0,1807800000.0,0.1661,0.1247,DE
2015-10-31 00:00:00,28862801000.0,20143199000.0,8719602000.0,1425100100.0,2873300000.0,2780102100.0,680000000.0,,2780100100.0,840100000.0,1940000100.0,900000.0,1940000000.0,5.78,0.3021,0.1199,0.0963,0.0672,0.1425,4842502100.0,3460101600.0,5.7766,5.8181,5.8181,1940900200.0,1940900000.0,0.1678,0.1302,DE
2015-07-31 00:00:00,31112299000.0,21570000000.0,9542299000.0,1433200000.0,3005599900.0,3399597100.0,689700000.0,,3399600000.0,1152300000.0,2247299800.0,-8000000.0,2238199800.0,6.52,0.3067,0.1314,0.1093,0.0719,0.1359,5467597000.0,4089296100.0,6.5262,6.5757,6.5757,2239299800.0,2239300000.0,0.1757,0.1297,DE
2015-04-30 00:00:00,33018799000.0,22823300000.0,10195499000.0,1448500000.0,3070999900.0,3953296600.0,672100000.0,,3953300000.0,1361500000.0,2591799700.0,-13300000.0,2577199800.0,7.31,0.3088,0.1401,0.1197,0.0781,0.1311,5984497000.0,4625395600.0,7.3252,7.3828,7.3828,2578499800.0,2578500000.0,0.1812,0.1273,DE
2015-01-31 00:00:00,34795999000.0,24000900000.0,10795100000.0,1461500000.0,3177499900.0,4400097600.0,672400000.0,,4400100000.0,1516500000.0,2883599700.0,-14700000.0,2867299800.0,7.95,0.3102,0.1458,0.1265,0.0824,0.1103,6378798000.0,5072496600.0,7.9449,8.0101,8.0101,2868899900.0,2868900000.0,0.1833,0.1081,DE
2014-10-31 00:00:00,36066899000.0,24775800000.0,11291100000.0,1452000000.0,3284399900.0,4797397900.0,664000000.0,,4797400000.0,1626500000.0,3170899700.0,-7600000.0,3161699800.0,8.64,0.3131,0.1514,0.133,0.0877,0.099,6767898000.0,5461397000.0,8.6406,8.7143,8.7143,3163299900.0,3163300000.0,0.1876,0.0978,DE
2014-07-31 00:00:00,36552698000.0,25011000000.0,11541698000.0,1445200100.0,3380999900.0,4965095900.0,678999900.0,,4965100000.0,1646700000.0,3318399900.0,2100000.0,3319300000.0,8.92,0.3158,0.1544,0.1358,0.0908,0.0928,6900596000.0,5644097000.0,8.9189,9.0007,9.0007,3320500100.0,3320500000.0,0.1888,0.0916,DE
2014-04-30 00:00:00,37062398000.0,25237600000.0,11824798000.0,1421800100.0,3480099900.0,5222196900.0,707699900.0,,5222200000.0,1750000000.0,3472200000.0,-6000000.0,3465200000.0,9.17,0.3191,0.16,0.1409,0.0935,0.0944,7146097000.0,5929898000.0,9.1463,9.2314,9.2314,3466200100.0,3466200000.0,0.1928,0.0966,DE
2014-01-31 00:00:00,38027998000.0,25848000000.0,12179997000.0,1444500100.0,3589899900.0,5502195900.0,732899900.0,,5502200000.0,1937400000.0,3564800000.0,4500000.0,3568800000.0,9.29,0.3203,0.164,0.1447,0.0938,0.0948,7441396000.0,6235097000.0,9.2513,9.3409,9.3409,3569300000.0,3569300000.0,0.1957,0.0988,DE
2013-10-31 00:00:00,37795398000.0,25667300000.0,12128097000.0,1477300100.0,3605499900.0,5483396100.0,741299900.0,,5483400000.0,1945900000.0,3537500000.0,100000.0,3537300000.0,9.15,0.3209,0.1647,0.1451,0.0936,0.0802,7364996000.0,6224697000.0,9.0893,9.1815,9.1815,3537600000.0,3537600000.0,0.1949,0.0861,DE
2013-07-31 00:00:00,38136402000.0,26176201000.0,11960201000.0,1473300000.0,3605800100.0,5361601100.0,753800000.0,,5361600000.0,1934000100.0,3427600200.0,-8200000.0,3417400000.0,8.79,0.3136,0.1604,0.1406,0.0896,0.0654,7218101000.0,6115401000.0,8.715,8.8068,8.8068,3419400200.0,3419400100.0,0.1893,0.0758,DE
2013-04-30 00:00:00,37716902000.0,26094301000.0,11622601000.0,1502400000.0,3564400100.0,5027001100.0,766100000.0,,5027000000.0,1807300100.0,3219700200.0,-6700000.0,3209100000.0,8.21,0.3082,0.1536,0.1333,0.0851,0.0296,6853001000.0,5793101000.0,8.1384,8.2269,8.2269,3213000200.0,3213000100.0,0.1817,0.0408,DE
2013-01-31 00:00:00,36812002000.0,25446601000.0,11365401000.0,1477600000.0,3489500100.0,4880200100.0,770800000.0,,4880200000.0,1682200100.0,3198000200.0,-11200000.0,3181400000.0,8.06,0.3087,0.1535,0.1326,0.0864,0.017,6689000000.0,5651000000.0,7.9946,8.0848,8.0848,3186800200.0,3186800100.0,0.1817,0.0311,DE
