Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
BAC,Bank of America Corp,Common stocks,Large cap,Financials,"$298,193,806,324 ",2.27%,0,0,0,Analyze
PFE,Pfizer Inc,Common stocks,Large cap,Health Care,"$271,291,491,573 ",3.27%,0,0,0,Analyze
ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"$269,091,994,097 ",3.65%,0,0,0,Analyze
KO,Coca-Cola,Common stocks,Large cap,Consumer Staples,"$262,541,200,257 ",2.84%,0,0,0,Analyze
MRK,Merck & Co Inc,Common stocks,Large cap,Health Care,"$259,396,362,100 ",2.66%,0,0,0,Analyze
PEP,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"$248,028,988,896 ",2.45%,0,0,0,Analyze
COST,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"$230,738,392,871 ",0.67%,0,0,0,Analyze
ORCL,Oracle Corp,Common stocks,Large cap,Information Technology,"$213,536,372,148 ",1.60%,0,0,0,Analyze
TMO,Thermo Fisher Scientific Inc,Common stocks,Large cap,Health Care,"$207,820,503,699 ",0.22%,0,0,0,Analyze
AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"$207,405,295,632 ",3.18%,0,0,0,Analyze
MCD,Mcdonalds Corp,Common stocks,Large cap,Consumer Discretionary,"$200,215,395,117 ",2.00%,0,0,0,Analyze
CSCO,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"$191,431,049,741 ",3.21%,0,0,0,Analyze
ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"$190,885,837,711 ",1.40%,0,0,0,Analyze
DHR,Danaher Corp,Common stocks,Large cap,Health Care,"$188,993,676,693 ",0.37%,0,0,0,Analyze
TMUS,T Mobile US Inc,Common stocks,Large cap,Communication Services,"$183,848,656,381 ",0.00%,0,0,0,Analyze
ABT,Abbott Laboratories,Common stocks,Large cap,Health Care,"$178,820,926,569 ",1.82%,0,0,0,Analyze
WFC,Wells Fargo,Common stocks,Large cap,Financials,"$175,244,476,399 ",2.37%,0,0,0,Analyze
DIS,Walt Disney,Common stocks,Large cap,Communication Services,"$166,718,633,707 ",0.00%,0,0,0,Analyze
NKE,Nike Inc Class B,Common stocks,Large cap,Consumer Discretionary,"$164,361,600,000 ",1.15%,0,0,0,Analyze
BMY,Bristol Myers Squibb,Common stocks,Large cap,Health Care,"$164,054,532,375 ",2.77%,0,0,0,Analyze
NEE,Nextera Energy Inc,Common stocks,Large cap,Utilities,"$163,642,926,742 ",2.00%,0,0,0,Analyze
COP,ConocoPhillips,Common stocks,Large cap,Energy,"$163,472,063,149 ",3.36%,0,0,0,Analyze
LIN,Linde Plc,Common stocks,Large cap,Materials,"$163,313,334,601 ",1.38%,0,0,0,Analyze
VZ,Verizon Communications Inc,Common stocks,Large cap,Communication Services,"$160,265,033,778 ",6.60%,0,0,0,Analyze
TXN,Texas Instrument Inc,Common stocks,Large cap,Information Technology,"$159,151,775,416 ",2.65%,0,0,0,Analyze
ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"$157,057,167,000 ",0.00%,0,0,0,Analyze
AMGN,Amgen Inc,Common stocks,Large cap,Health Care,"$153,297,305,884 ",2.67%,0,0,0,Analyze
UPS,United Parcel Service Inc Class B,Common stocks,Large cap,Industrials,"$152,277,490,897 ",3.94%,0,0,0,Analyze
MS,Morgan Stanley,Common stocks,Large cap,Financials,"$150,335,232,820 ",3.27%,0,0,0,Analyze
CRM,Salesforce.Com Inc,Common stocks,Large cap,Information Technology,"$149,690,000,000 ",0.00%,0,0,0,Analyze
CMCSA,Comcast A Corp,Common stocks,Large cap,Communication Services,"$147,796,417,569 ",3.07%,0,0,0,Analyze
PM,Philip Morris International Inc,Common stocks,Large cap,Consumer Staples,"$147,517,251,344 ",5.17%,0,0,0,Analyze
HON,Honeywell International Inc,Common stocks,Large cap,Industrials,"$144,219,841,986 ",1.83%,0,0,0,Analyze
SCHW,Charles Schwab Corporation,Common stocks,Large cap,Financials,"$141,454,378,238 ",1.07%,0,0,0,Analyze
RTX,Raytheon Technologies Corporation,Common stocks,Large cap,Industrials,"$138,964,845,061 ",2.27%,0,0,0,Analyze
QCOM,Qualcomm Inc,Common stocks,Large cap,Information Technology,"$137,726,060,000 ",2.31%,0,0,0,Analyze
T,AT&T Inc.,Common stocks,Large cap,Communication Services,"$135,113,500,000 ",6.31%,0,0,0,Analyze
IBM,International Business Machines Co,Common stocks,Large cap,Information Technology,"$132,083,820,371 ",4.43%,0,0,0,Analyze
NFLX,Netflix Inc,Common stocks,Large cap,Communication Services,"$130,453,229,962 ",0.00%,0,0,0,Analyze
LOW,Lowes Companies Inc,Common stocks,Large cap,Consumer Discretionary,"$129,353,998,163 ",1.76%,0,0,0,Analyze
UNP,Union Pacific Corp,Common stocks,Large cap,Industrials,"$128,997,503,856 ",2.34%,0,0,0,Analyze
GS,Goldman Sachs Group Inc,Common stocks,Large cap,Financials,"$128,606,643,831 ",2.22%,0,0,0,Analyze
CVS,CVS Health Corp,Common stocks,Large cap,Health Care,"$124,734,878,956 ",2.30%,0,0,0,Analyze
DE,Deere & Company,Common stocks,Large cap,Industrials,"$124,648,488,994 ",1.05%,0,0,0,Analyze
LMT,Lockheed Martin Corp,Common stocks,Large cap,Industrials,"$123,900,707,488 ",2.35%,0,0,0,Analyze
INTC,Intel Corporation Corp,Common stocks,Large cap,Information Technology,"$123,356,030,000 ",4.80%,0,0,0,Analyze
CAT,Caterpillar Inc,Common stocks,Large cap,Industrials,"$119,923,131,766 ",1.99%,0,0,0,Analyze
AMD,Advanced Micro Devices Inc,Common stocks,Large cap,Information Technology,"$119,153,120,372 ",0.00%,0,0,0,Analyze
SPGI,S&P Global Inc,Common stocks,Large cap,Financials,"$115,474,410,000 ",0.93%,0,0,0,Analyze
ELV,"Elevance Health, Inc.",Common stocks,Large cap,Health Care,"$114,482,731,045 ",1.04%,0,0,0,Analyze
AXP,American Express,Common stocks,Large cap,Financials,"$112,563,133,325 ",1.31%,0,0,0,Analyze
SBUX,Starbucks Corp,Common stocks,Large cap,Consumer Discretionary,"$111,263,378,000 ",2.03%,0,0,0,Analyze
BLK,Blackrock Inc,Common stocks,Large cap,Financials,"$108,337,571,646 ",2.59%,0,0,0,Analyze
INTU,Intuit Inc,Common stocks,Large cap,Information Technology,"$107,640,469,393 ",0.74%,0,0,0,Analyze
MDT,Medtronic Plc,Common stocks,Large cap,Health Care,"$106,252,513,923 ",3.24%,0,0,0,Analyze
ADP,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"$105,179,580,830 ",1.63%,0,0,0,Analyze
GILD,Gilead Sciences Inc,Common stocks,Large cap,Health Care,"$104,879,870,319 ",3.41%,0,0,0,Analyze
PLD,"Prologis, Inc",REITs,Large cap,Real Estate,"$103,670,665,560 ",2.65%,0,0,0,Analyze
BA,Boeing,Common stocks,Large cap,Industrials,"$102,598,693,780 ",0.00%,0,0,0,Analyze
AMT,American Tower Corporation,REITs,Large cap,Real Estate,"$100,729,116,153 ",2.61%,0,0,0,Analyze
PYPL,Paypal Holdings Inc,Common stocks,Large cap,Information Technology,"$97,631,974,968 ",0.00%,0,0,0,Analyze
CI,Cigna Corp,Common stocks,Large cap,Health Care,"$95,421,143,148 ",1.39%,0,0,0,Analyze
C,Citigroup Inc,Common stocks,Large cap,Financials,"$93,453,150,688 ",4.16%,0,0,0,Analyze
GE,General Electric,Common stocks,Large cap,Industrials,"$93,302,932,475 ",0.37%,0,0,0,Analyze
ISRG,Intuitive Surgical Inc,Common stocks,Large cap,Health Care,"$92,152,094,319 ",0.00%,0,0,0,Analyze
TJX,"TJX Companies, Inc.",Common stocks,Large cap,Consumer Discretionary,"$90,550,520,428 ",1.46%,0,0,0,Analyze
AMAT,Applied Material Inc,Common stocks,Large cap,Information Technology,"$89,859,314,428 ",1.18%,0,0,0,Analyze
MDLZ,Mondelez International Inc,Common stocks,Large cap,Consumer Staples,"$88,014,112,841 ",2.21%,0,0,0,Analyze
CB,Chubb Ltd,Common stocks,Large cap,Financials,"$86,762,109,277 ",1.55%,0,0,0,Analyze
EOG,EOG Resources Inc,Common stocks,Large cap,Energy,"$84,871,908,277 ",2.02%,0,0,0,Analyze
ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$83,050,727,011 ",1.83%,0,0,0,Analyze
SYK,Stryker Corp,Common stocks,Large cap,Health Care,"$82,868,585,852 ",1.26%,0,0,0,Analyze
MMC,Marsh & McLennan Inc,Common stocks,Large cap,Financials,"$82,163,974,669 ",1.35%,0,0,0,Analyze
EL,Estee Lauder Inc Class A,Common stocks,Large cap,Consumer Staples,"$81,430,304,000 ",1.05%,0,0,0,Analyze
NOW,Servicenow Inc,Common stocks,Large cap,Information Technology,"$80,917,160,000 ",0.00%,0,0,0,Analyze
NOC,Northrop Grumman Corp,Common stocks,Large cap,Industrials,"$79,857,322,141 ",1.27%,0,0,0,Analyze
VRTX,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$79,548,680,975 ",0.00%,0,0,0,Analyze
REGN,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$79,143,486,774 ",0.00%,0,0,0,Analyze
MO,Altria Group Inc,Common stocks,Large cap,Consumer Staples,"$78,264,178,228 ",8.09%,0,0,0,Analyze
BKNG,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$75,280,892,655 ",0.00%,0,0,0,Analyze
SLB,Schlumberger Nv,Common stocks,Large cap,Energy,"$74,912,611,133 ",1.13%,0,0,0,Analyze
PGR,Progressive Corp,Common stocks,Large cap,Financials,"$74,900,624,530 ",1.48%,0,0,0,Analyze
TGT,Target Corp,Common stocks,Large cap,Consumer Discretionary,"$74,567,148,686 ",2.41%,0,0,0,Analyze
DUK,Duke Energy Corp,Common stocks,Large cap,Utilities,"$73,556,395,981 ",4.11%,0,0,0,Analyze
SO,Southern Co,Common stocks,Large cap,Utilities,"$70,676,639,994 ",3.08%,0,0,0,Analyze
MRNA,"Moderna, Inc.",Common stocks,Large cap,Health Care,"$70,650,788,249 ",0.00%,0,0,0,Analyze
MMM,3M,Common stocks,Large cap,Industrials,"$70,281,261,642 ",4.61%,0,0,0,Analyze
ITW,Illinois Tool Inc,Common stocks,Large cap,Industrials,"$69,562,355,525 ",2.17%,0,0,0,Analyze
GD,General Dynamics Corp,Common stocks,Large cap,Industrials,"$67,681,809,866 ",2.00%,0,0,0,Analyze
ZTS,Zoetis Inc,Common stocks,Large cap,Health Care,"$66,927,938,482 ",0.90%,0,0,0,Analyze
HUM,Humana Inc,Common stocks,Large cap,Health Care,"$65,865,081,443 ",0.59%,0,0,0,Analyze
WM,Waste Management Inc,Common stocks,Large cap,Industrials,"$65,302,801,203 ",1.58%,0,0,0,Analyze
CSX,CSX Corp,Common stocks,Large cap,Industrials,"$65,069,550,163 ",1.27%,0,0,0,Analyze
APD,Air Products And Chemicals Inc,Common stocks,Large cap,Materials,"$65,053,641,421 ",2.15%,0,0,0,Analyze
OXY,Occidental Petroleum Corp,Common stocks,Large cap,Energy,"$64,951,005,088 ",0.56%,0,0,0,Analyze
ETN,"Eaton Corporation, PLC",Common stocks,Large cap,Industrials,"$64,677,951,000 ",1.98%,0,0,0,Analyze
HCA,"HCA Healthcare, Inc.",Common stocks,Large cap,Health Care,"$64,261,505,910 ",0.95%,0,0,0,Analyze
PNC,"PNC Financial Services Group, Inc.",Common stocks,Large cap,Financials,"$64,047,062,440 ",3.57%,0,0,0,Analyze
MU,Micron Technology Inc,Common stocks,Large cap,Information Technology,"$63,860,282,624 ",0.73%,0,0,0,Analyze
USB,US Bancorp,Common stocks,Large cap,Financials,"$63,548,670,496 ",4.28%,0,0,0,Analyze
LRCX,Lam Research Corp,Common stocks,Large cap,Information Technology,"$62,892,694,590 ",1.34%,0,0,0,Analyze
CL,Colgate-Palmolive,Common stocks,Large cap,Consumer Staples,"$62,883,277,871 ",2.45%,0,0,0,Analyze
BDX,Becton Dickinson,Common stocks,Large cap,Health Care,"$62,717,257,080 ",1.56%,0,0,0,Analyze
FISV,Fiserv Inc,Common stocks,Large cap,Information Technology,"$62,607,418,013 ",0.00%,0,0,0,Analyze
CME,CME Group Inc Class A,Common stocks,Large cap,Financials,"$62,423,075,606 ",2.23%,0,0,0,Analyze
PXD,Pioneer Natural Resource,Common stocks,Large cap,Energy,"$62,076,997,192 ",7.75%,0,0,0,Analyze
SHW,Sherwin Williams,Common stocks,Large cap,Materials,"$61,445,495,368 ",1.01%,0,0,0,Analyze
AON,Aon Plc,Common stocks,Large cap,Financials,"$61,182,961,410 ",0.74%,0,0,0,Analyze
BSX,Boston Scientific Corp,Common stocks,Large cap,Health Care,"$60,443,536,100 ",0.00%,0,0,0,Analyze
TFC,Truist Financial Corporation,Common stocks,Large cap,Financials,"$59,863,694,915 ",4.36%,0,0,0,Analyze
CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$59,823,300,865 ",0.00%,0,0,0,Analyze
EQIX,"Equinix, Inc.",REITs,Large cap,Real Estate,"$59,218,841,313 ",1.92%,0,0,0,Analyze
MET,Metlife Inc,Common stocks,Large cap,Financials,"$58,759,158,692 ",2.62%,0,0,0,Analyze
ICE,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"$58,145,224,163 ",1.40%,0,0,0,Analyze
CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$57,863,873,894 ",4.34%,0,0,0,Analyze
ATVI,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"$57,765,574,795 ",0.64%,0,0,0,Analyze
DG,Dollar General Corp,Common stocks,Large cap,Consumer Discretionary,"$57,730,572,603 ",0.81%,0,0,0,Analyze
NSC,Norfolk Southern Corp,Common stocks,Large cap,Industrials,"$56,850,630,144 ",2.00%,0,0,0,Analyze
MPC,Marathon Petroleum Corp,Common stocks,Large cap,Energy,"$56,426,764,293 ",2.05%,0,0,0,Analyze
EMR,Emerson Electric,Common stocks,Large cap,Industrials,"$55,952,354,000 ",2.15%,0,0,0,Analyze
F,Ford Motor Company,Common stocks,Large cap,Consumer Discretionary,"$54,939,520,540 ",3.55%,0,0,0,Analyze
GM,General Motors,Common stocks,Large cap,Consumer Discretionary,"$54,895,723,850 ",0.23%,0,0,0,Analyze
KLAC,KLA-Tencor Corporation,Common stocks,Large cap,Information Technology,"$53,284,673,769 ",1.24%,0,0,0,Analyze
VLO,Valero Energy Corp,Common stocks,Large cap,Energy,"$53,167,515,269 ",2.81%,0,0,0,Analyze
MCO,Moodys Corp,Common stocks,Large cap,Financials,"$53,091,360,000 ",0.93%,0,0,0,Analyze
KDP,Keurig Dr Pepper Inc.,Common stocks,Large cap,Consumer Staples,"$52,174,698,150 ",2.05%,0,0,0,Analyze
MCK,Mckesson Corp,Common stocks,Large cap,Health Care,"$51,974,400,094 ",0.53%,0,0,0,Analyze
FCX,"Freeport-McMoRan, Inc.",Common stocks,Large cap,Materials,"$51,970,336,665 ",1.03%,0,0,0,Analyze
ADM,Archer-Daniels-Midland Company,Common stocks,Large cap,Consumer Staples,"$51,967,017,874 ",1.68%,0,0,0,Analyze
ORLY,Oreilly Automotive Inc,Common stocks,Large cap,Consumer Discretionary,"$51,936,754,612 ",0.00%,0,0,0,Analyze
PSX,Phillips 66,Common stocks,Large cap,Energy,"$51,861,932,732 ",3.44%,0,0,0,Analyze
MNST,Monster Beverage Corp,Common stocks,Large cap,Consumer Staples,"$51,631,747,844 ",0.00%,0,0,0,Analyze
PSA,Public Storage,REITs,Large cap,Real Estate,"$50,826,236,719 ",2.66%,0,0,0,Analyze
MAR,Marriott International Inc,Common stocks,Large cap,Consumer Discretionary,"$50,636,841,892 ",0.37%,0,0,0,Analyze
SNPS,Synopsys Inc,Common stocks,Large cap,Information Technology,"$49,584,561,519 ",0.00%,0,0,0,Analyze
D,Dominion Energy Inc,Common stocks,Large cap,Utilities,"$48,638,273,716 ",4.46%,0,0,0,Analyze
SRE,Sempra Energy,Common stocks,Large cap,Utilities,"$48,432,484,571 ",2.91%,0,0,0,Analyze
GIS,General Mills Inc,Common stocks,Large cap,Consumer Staples,"$47,346,338,801 ",2.61%,0,0,0,Analyze
APH,Amphenol Corp,Common stocks,Large cap,Information Technology,"$46,970,812,042 ",1.01%,0,0,0,Analyze
CTVA,"Corteva, Inc.",Common stocks,Large cap,Materials,"$46,749,211,560 ",0.88%,0,0,0,Analyze
DVN,Devon Energy Corp,Common stocks,Large cap,Energy,"$46,406,163,000 ",4.56%,0,0,0,Analyze
ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"$46,340,620,425 ",0.00%,0,0,0,Analyze
KHC,Kraft Heinz,Common stocks,Large cap,Consumer Staples,"$46,241,113,691 ",4.17%,0,0,0,Analyze
AZO,Autozone Inc,Common stocks,Large cap,Consumer Discretionary,"$45,950,615,689 ",0.00%,0,0,0,Analyze
CNC,Centene Corp,Common stocks,Large cap,Health Care,"$45,827,396,954 ",0.00%,0,0,0,Analyze
AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"$45,769,837,799 ",3.51%,0,0,0,Analyze
EW,Edwards Lifesciences Corp,Common stocks,Large cap,Health Care,"$45,578,163,986 ",0.00%,0,0,0,Analyze
ROP,Roper Technologies Inc,Common stocks,Large cap,Information Technology,"$45,562,083,439 ",0.58%,0,0,0,Analyze
HSY,Hershey Foods,Common stocks,Large cap,Consumer Staples,"$45,449,829,600 ",1.74%,0,0,0,Analyze
CDNS,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"$45,289,571,600 ",0.00%,0,0,0,Analyze
HES,Hess Corp,Common stocks,Large cap,Energy,"$45,219,602,708 ",0.93%,0,0,0,Analyze
JCI,Johnson Controls International Plc,Common stocks,Large cap,Industrials,"$45,164,514,780 ",2.09%,0,0,0,Analyze
CTAS,Cintas Corp,Common stocks,Large cap,Industrials,"$45,013,010,779 ",0.94%,0,0,0,Analyze
FDX,FedEx Corporation,Common stocks,Large cap,Industrials,"$44,638,103,120 ",2.20%,0,0,0,Analyze
AIG,American International Group Inc,Common stocks,Large cap,Financials,"$44,162,731,794 ",2.13%,0,0,0,Analyze
NXPI,NXP Semiconductors Nv,Common stocks,Large cap,Information Technology,"$44,076,248,678 ",1.81%,0,0,0,Analyze
AFL,Aflac Inc,Common stocks,Large cap,Financials,"$43,892,054,450 ",2.25%,0,0,0,Analyze
DXCM,Dexcom Inc,Common stocks,Large cap,Health Care,"$43,508,115,200 ",0.00%,0,0,0,Analyze
BIIB,Biogen Inc,Common stocks,Large cap,Health Care,"$43,495,624,078 ",0.00%,0,0,0,Analyze
KMB,Kimberly Clark Corp,Common stocks,Large cap,Consumer Staples,"$43,492,606,154 ",3.54%,0,0,0,Analyze
PAYX,Paychex Inc,Common stocks,Large cap,Information Technology,"$43,327,360,493 ",2.50%,0,0,0,Analyze
TRV,Travelers Companies Inc,Common stocks,Large cap,Financials,"$42,869,192,748 ",1.96%,0,0,0,Analyze
A,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"$42,760,099,931 ",0.58%,0,0,0,Analyze
MSI,Motorola Solutions Inc,Common stocks,Large cap,Information Technology,"$42,722,091,932 ",1.23%,0,0,0,Analyze
SYY,Sysco Corp,Common stocks,Large cap,Consumer Staples,"$42,619,148,937 ",2.26%,0,0,0,Analyze
ENPH,Enphase Energy Inc,Common stocks,Large cap,Information Technology,"$42,538,641,093 ",0.00%,0,0,0,Analyze
FTNT,Fortinet Inc,Common stocks,Large cap,Information Technology,"$42,296,117,636 ",0.00%,0,0,0,Analyze
LHX,"L3Harris Technologies, Inc.",Common stocks,Large cap,Industrials,"$42,174,219,093 ",2.01%,0,0,0,Analyze
ECL,Ecolab Inc,Common stocks,Large cap,Materials,"$42,126,070,074 ",1.37%,0,0,0,Analyze
RSG,Republic Services Inc,Common stocks,Large cap,Industrials,"$41,683,683,468 ",1.41%,0,0,0,Analyze
CMG,Chipotle Mexican Grill Inc,Common stocks,Large cap,Consumer Discretionary,"$41,410,628,739 ",0.00%,0,0,0,Analyze
KMI,Kinder Morgan Inc,Common stocks,Large cap,Energy,"$41,133,679,899 ",5.89%,0,0,0,Analyze
MCHP,Microchip Technology Inc,Common stocks,Large cap,Information Technology,"$40,585,142,711 ",1.12%,0,0,0,Analyze
O,Realty Income Corporation,REITs,Large cap,Real Estate,"$40,394,980,187 ",4.52%,0,0,0,Analyze
ANET,Arista Networks Inc,Common stocks,Large cap,Information Technology,"$40,353,919,669 ",0.00%,0,0,0,Analyze
WMB,Williams Inc,Common stocks,Large cap,Energy,"$40,327,048,307 ",5.00%,0,0,0,Analyze
TT,Trane Technologies plc,Common stocks,Large cap,Industrials,"$40,184,017,006 ",1.48%,0,0,0,Analyze
AJG,Arthur J Gallagher,Common stocks,Large cap,Financials,"$40,116,526,800 ",1.05%,0,0,0,Analyze
PRU,Prudential Financial Inc,Common stocks,Large cap,Financials,"$39,725,880,000 ",4.37%,0,0,0,Analyze
STZ,Constellation Brands Class A,Common stocks,Large cap,Consumer Staples,"$39,477,430,580 ",1.28%,0,0,0,Analyze
TEL,TE Connectivity Ltd,Common stocks,Large cap,Information Technology,"$39,460,309,732 ",1.74%,0,0,0,Analyze
IQV,"IQVIA Holdings, Inc.",Common stocks,Large cap,Health Care,"$39,269,155,663 ",0.00%,0,0,0,Analyze
MSCI,MSCI Inc,Common stocks,Large cap,Financials,"$39,266,655,741 ",0.93%,0,0,0,Analyze
PH,Parker-Hannifin Corp,Common stocks,Large cap,Industrials,"$39,053,319,026 ",1.63%,0,0,0,Analyze
COF,Capital One Financial Corp,Common stocks,Large cap,Financials,"$37,956,106,000 ",2.38%,0,0,0,Analyze
SPG,"Simon Property Group, Inc",REITs,Large cap,Real Estate,"$37,857,053,140 ",5.70%,0,0,0,Analyze
HLT,Hilton Worldwide Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$37,312,112,105 ",0.33%,0,0,0,Analyze
EXC,Exelon Corp,Common stocks,Large cap,Utilities,"$37,245,451,284 ",3.56%,0,0,0,Analyze
XEL,Xcel Energy Inc,Common stocks,Large cap,Utilities,"$36,742,264,021 ",2.83%,0,0,0,Analyze
DLTR,Dollar Tree Inc,Common stocks,Large cap,Consumer Discretionary,"$36,658,481,171 ",0.00%,0,0,0,Analyze
NUE,Nucor Corp,Common stocks,Large cap,Materials,"$36,454,861,191 ",1.40%,0,0,0,Analyze
FIS,Fidelity National Information Services,Common stocks,Large cap,Information Technology,"$36,231,749,583 ",2.93%,0,0,0,Analyze
PCAR,Paccar Inc,Common stocks,Large cap,Industrials,"$35,997,421,688 ",1.34%,0,0,0,Analyze
CARR,Carrier Global Corporation,Common stocks,Large cap,Industrials,"$35,992,695,606 ",1.39%,0,0,0,Analyze
ALL,Allstate Corp,Common stocks,Large cap,Financials,"$35,699,860,756 ",2.47%,0,0,0,Analyze
EA,Electronic Arts Inc,Common stocks,Large cap,Communication Services,"$35,517,722,104 ",0.56%,0,0,0,Analyze
BK,Bank Of New York Mellon Corp,Common stocks,Large cap,Financials,"$35,467,324,162 ",3.20%,0,0,0,Analyze
NEM,Newmont Corporation,Common stocks,Large cap,Materials,"$35,456,309,114 ",4.85%,0,0,0,Analyze
ILMN,Illumina Inc,Common stocks,Large cap,Health Care,"$35,342,164,000 ",0.00%,0,0,0,Analyze
DOW,Dow Inc.,Common stocks,Large cap,Materials,"$35,279,452,155 ",5.49%,0,0,0,Analyze
CMI,Cummins Inc,Common stocks,Large cap,Industrials,"$35,027,159,112 ",2.41%,0,0,0,Analyze
WBA,Walgreen Boots Alliance Inc,Common stocks,Large cap,Consumer Staples,"$34,704,949,342 ",4.69%,0,0,0,Analyze
YUM,Yum Brands Inc,Common stocks,Large cap,Consumer Discretionary,"$34,582,819,309 ",1.79%,0,0,0,Analyze
KR,Kroger,Common stocks,Large cap,Consumer Staples,"$34,487,548,449 ",1.94%,0,0,0,Analyze
DD,"DuPont de Nemours, Inc.",Common stocks,Large cap,Materials,"$34,447,345,654 ",1.85%,0,0,0,Analyze
AMP,Ameriprise Finance Inc,Common stocks,Large cap,Financials,"$34,220,578,682 ",1.51%,0,0,0,Analyze
HAL,Halliburton,Common stocks,Large cap,Energy,"$34,024,512,734 ",1.08%,0,0,0,Analyze
IDXX,Idexx Laboratories Inc,Common stocks,Large cap,Health Care,"$33,991,391,831 ",0.00%,0,0,0,Analyze
ROST,Ross Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$33,987,860,298 ",1.23%,0,0,0,Analyze
LVS,Las Vegas Sands Corp,Common stocks,Large cap,Consumer Discretionary,"$33,837,281,993 ",0.00%,0,0,0,Analyze
BF.B,Brown Forman Inc Class B,Common stocks,Large cap,Consumer Staples,"$33,094,696,688 ",1.09%,0,0,0,Analyze
ODFL,Old Dominion Freight Line Inc,Common stocks,Large cap,Industrials,"$33,008,594,205 ",0.37%,0,0,0,Analyze
CSGP,Costar Group Inc,Common stocks,Large cap,Industrials,"$32,840,222,345 ",0.00%,0,0,0,Analyze
TDG,Transdigm Group Inc,Common stocks,Large cap,Industrials,"$32,737,856,760 ",0.00%,0,0,0,Analyze
